"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"347",39.35,40.2776757188498,22,41,41,41,41
"348",36.77,40.3194089456869,22,41,41,41,41
"349",40.62,40.2964131650423,22,41,41,41,41
"350",39.91,40.2869068541301,22,41,41,41,41
"351",40.7,40.2500798722045,22,41,41,41,41
"352",40.58,40.2705445247893,22,41,41,41,41
"353",40.66,40.2721824937078,22,41,41,41,41
"354",40.26,40.2572284345048,22,41,41,41,41
"355",40.66,40.2422911008148,22,41,41,41,41
"356",40.62,40.2558316024924,22,41,41,41,41
"357",36.88,40.2416932907348,22,41,41,41,41
"358",40.57,40.165002396549,22,41,41,41,41
"359",40.7,40.2357005911487,22,41,41,41,41
"360",40.37,40.2503594823454,22,41,41,41,41
"361",40.62,40.1616472279917,22,41,41,41,41
"362",38.97,40.228714057508,22,41,41,41,41
"363",40.53,40.2129392971246,22,41,41,41,41
"364",40.7,40.1027555910543,22,41,41,41,41
"365",40.62,40.1744408945687,22,41,41,41,41
"366",40.7,40.168637162486,22,41,41,41,41
"367",40.7,40.1689696485623,22,41,41,41,41
"368",39.52,40.0806709265176,22,41,41,41,41
"369",40.7,40.0498402555911,12,41,41,41,41
"370",40.58,40.0643370607029,12,41,41,41,41
"371",40.7,40.0801246205464,22,41,41,41,41
"372",40.7,40.0311151941205,12,41,41,41,41
"373",39.1,40.0629892954146,22,41,41,41,41
"374",40.58,40.0546325878594,12,41,41,41,41
"375",40.66,40.0275159744409,12,41,41,41,41
"376",40.62,40.0052715654952,12,41,41,41,41
"377",40.58,39.3208067092652,12,41,41,41,41
"378",39.96,39.8513178913738,12,41,41,41,41
"379",40.66,39.9208865814696,12,41,41,41,41
"380",39.77,40.0241214057508,22,41,41,41,41
"381",40.62,40.114696485623,22,41,41,41,41
"382",40.53,40.0979233226837,22,41,41,41,41
"383",40.29,40.0525159744409,12,41,41,41,41
"384",40.58,40.1003756093663,22,41,41,41,41
"385",40.37,40.0922855658983,22,41,41,41,41
"386",40.7,39.9949680511182,12,41,41,41,41
"387",40.62,40.0060702875399,12,41,41,41,41
"388",40.52,40.0517172523962,12,41,41,41,41
"389",40.1,40.0552115376933,12,41,41,41,41
"390",38.86,40.0423722044728,12,41,41,41,41
"391",40.66,39.9457268370607,12,41,41,41,41
"392",40.66,39.9199952069021,12,41,41,41,41
"393",40.5,39.969923310433,12,41,41,41,41
"394",39.54,40.0791260584758,22,41,41,41,41
"395",40.7,40.0043130990415,12,41,41,41,41
"396",40.38,39.8676182479709,12,41,41,41,41
"397",40.58,39.879892954146,12,41,41,41,41
"398",40.7,39.9133785942492,12,41,41,41,41
"399",36.53,39.8943290734824,12,41,41,41,41
"400",40.48,39.8873621984343,12,41,41,41,41
"401",40.7,31.3766129998801,2,32,32,32,32
"402",39.79,31.6526706883465,12,32,32,32,32
"403",40.44,35.9281834158811,27,37,37,37,37
"404",40.66,36.3919156414763,22,37,37,37,37
"405",40.14,36.588432656974,27,37,37,37,37
"406",40.7,40.1668130990415,27,41,41,41,41
"407",40.7,40.4563099041534,32,41,41,41,41
"408",40.54,40.4400559105431,32,41,41,41,41
"409",40.62,40.3722843450479,27,41,41,41,41
"410",40.66,40.5069089456869,32,41,41,41,41
"411",40.62,40.4901357827476,32,41,41,41,41
"412",39.05,40.4950479233227,32,41,41,41,41
"413",40.58,40.4992811501597,32,41,41,41,41
"414",40.28,40.4860223642173,27,41,41,41,41
"415",39.81,40.4281549520767,27,41,41,41,41
"416",40.61,40.395607028754,27,41,41,41,41
"417",40.65,40.4631389776358,27,41,41,41,41
"418",40.66,40.4635383386581,27,41,41,41,41
"419",40.2,40.4644968051118,27,41,41,41,41
"420",39.72,40.4481230031949,27,41,41,41,41
"421",38.84,40.4468450479233,27,41,41,41,41
"422",40.31,40.3859424920128,27,41,41,41,41
"423",40.49,40.368250798722,27,41,41,41,41
"424",40.66,40.3275559105431,27,41,41,41,41
"425",38.72,40.3605431309904,27,41,41,41,41
"426",40.19,40.4117012779553,27,41,41,41,41
"427",34.31,40.3906948881789,27,41,41,41,41
"428",40.66,40.3204073482428,22,41,41,41,41
"429",38.14,40.3420926517572,22,41,41,41,41
"430",40.61,40.3099440894569,22,41,41,41,41
"431",40.7,40.2799920127796,22,41,41,41,41
"432",40.7,40.3089057507987,22,41,41,41,41
"433",40.53,40.3916932907348,27,41,41,41,41
"434",40.49,40.3528354632588,27,41,41,41,41
"435",40.7,40.3799121405751,27,41,41,41,41
"436",40.66,40.3990015974441,27,41,41,41,41
"437",40.66,40.4053363157054,27,41,41,41,41
"438",35.24,40.4327368589231,27,41,41,41,41
"439",40.54,40.389696485623,27,41,41,41,41
"440",40.31,40.2516775842786,22,41,41,41,41
"441",40.7,40.3059504792332,27,41,41,41,41
"442",40.61,40.3015575079872,22,41,41,41,41
"443",40.62,40.3447284345048,27,41,41,41,41
"444",40.7,40.2842651757189,22,41,41,41,41
"445",39.42,40.2977635782748,22,41,41,41,41
"446",40.31,40.2476837060703,22,41,41,41,41
"447",40.5,40.2776757188498,22,41,41,41,41
"448",40.36,40.3194089456869,22,41,41,41,41
"449",40.7,40.2964131650423,22,41,41,41,41
"450",40.53,40.2869068541301,22,41,41,41,41
"451",40.66,40.2500798722045,22,41,41,41,41
"452",40.66,40.2705445247893,22,41,41,41,41
"453",40.7,40.2721824937078,22,41,41,41,41
"454",40.54,40.2572284345048,22,41,41,41,41
"455",40.53,40.2422911008148,22,41,41,41,41
"456",40.66,40.2558316024924,22,41,41,41,41
"457",40.66,40.2416932907348,22,41,41,41,41
"458",40.52,40.165002396549,22,41,41,41,41
"459",40.66,40.2357005911487,22,41,41,41,41
"460",40.02,40.2503594823454,22,41,41,41,41
"461",40.7,40.1616472279917,22,41,41,41,41
"462",40.54,40.228714057508,22,41,41,41,41
"463",39.81,40.2129392971246,22,41,41,41,41
"464",40.62,40.1027555910543,22,41,41,41,41
"465",40.53,40.1744408945687,22,41,41,41,41
"466",33.94,40.168637162486,22,41,41,41,41
"467",40.7,40.1689696485623,22,41,41,41,41
"468",40.58,40.0806709265176,22,41,41,41,41
"469",40.62,40.0498402555911,12,41,41,41,41
"470",37.65,40.0643370607029,12,41,41,41,41
"471",40.66,40.0801246205464,22,41,41,41,41
"472",28.57,40.0311151941205,12,41,41,41,41
"473",39.17,40.0629892954146,22,41,41,41,41
"474",37.81,40.0546325878594,12,41,41,41,41
